City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,ixtapa,20.7,-105.2,29.57,39,0,3.09,MX,1683656338
319,nitra,48.3076,18.0845,15.08,75,42,3.65,SK,1683656338
320,hami,42.8,93.45,15.15,35,42,4.05,CN,1683656339
321,katsuura,35.1333,140.3,13.19,77,0,5.52,JP,1683656339
322,karbala,32.616,44.0249,29.11,24,0,9.33,IQ,1683656339
323,broken hill,-31.95,141.4333,8.25,78,0,3.78,AU,1683656340
324,pangody,65.85,74.4859,-0.34,98,100,3.79,RU,1683656340
325,piti village,13.4626,144.6933,27.03,92,0,2.57,GU,1683656340
326,ierapetra,35.01,25.7353,19.52,63,90,2.24,GR,1683656340
327,tazacorte,28.629,-17.9293,23.54,69,20,6.69,ES,1683656341
328,floro,61.5996,5.0328,12.04,81,75,6.17,NO,1683656341
329,nabire,-3.3667,135.4833,24.55,97,100,0.91,ID,1683656341
330,atherton,53.5237,-2.4935,15.99,70,52,0.89,GB,1683656341
331,tanumah,27.1,44.1333,30.11,12,0,4.46,SA,1683656342
332,sao vicente,-23.9631,-46.3919,30.1,63,75,4.12,BR,1683656104
333,khromtau,50.2503,58.4347,10.02,75,99,8.28,KZ,1683656343
334,gemena,3.25,19.7667,21.57,100,100,0.61,CD,1683656343
335,champerico,14.3,-91.9167,35.3,62,7,5.24,GT,1683656343
336,yarmouth,41.7057,-70.2286,16.65,58,0,4.63,US,1683656344
337,yuzhno-sukhokumsk,44.6581,45.6436,15.83,56,42,4.56,RU,1683656344
338,amreli,21.6167,71.2333,34.63,22,78,6.96,IN,1683656345
339,nar'yan-mar,67.6713,53.087,-0.33,83,99,5.61,RU,1683656346
340,barranca,-10.75,-77.7667,23.69,75,94,4.4,PE,1683656347
341,protaras,35.0125,34.0583,21.08,91,86,0.45,CY,1683656347
342,grand falls-windsor,48.9332,-55.6649,2.5,90,100,2.68,CA,1683656348
343,muravlenko,63.7898,74.523,0.86,83,100,8.1,RU,1683656348
344,al ghayzah,16.2079,52.176,28.26,70,39,3.81,YE,1683656349
345,broceni,56.7,22.5333,10.7,65,66,1.84,LV,1683656349
346,corner brook,48.9667,-57.9484,3.09,78,100,9.24,CA,1683656108
347,weno,7.4515,151.8468,28.45,76,100,2.89,FM,1683656349
348,topchikha,52.8192,83.1185,11.89,58,100,4.98,RU,1683656350
349,constitucion,-35.3333,-72.4167,19.48,38,93,4.77,CL,1683656263
350,salekhard,66.53,66.6019,-5.12,89,72,3.58,RU,1683656351
351,fuling,29.7022,107.3919,16.5,97,100,0.75,CN,1683656351
352,goure,13.9835,10.2704,30.41,7,82,1.52,NE,1683656352
353,sim,54.993,57.6982,6.73,59,99,1.56,RU,1683656353
354,aljezur,37.3191,-8.8033,19.83,74,100,7.9,PT,1683656353
355,labytnangi,66.6572,66.4183,-5.42,90,65,3.43,RU,1683656353
356,kenai,60.5544,-151.2583,7.05,70,100,9.77,US,1683656217
357,magadan,59.5667,150.8,1.3,90,100,0.2,RU,1683656354
